URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://servlet.ttlock.com/key/delete,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59980,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:20,10 Sep 2023 14:06:20,10 Sep 2023 14:06:20,10 Sep 2023 14:06:20,604,1,102,320,57,1,123,43.381836,36.7666,24107.422,1390,671,85,24599,0,87,,
https://servlet.ttlock.com/key/listUser,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59981,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:21,10 Sep 2023 14:06:22,10 Sep 2023 14:06:22,10 Sep 2023 14:06:22,792,0,106,324,47,0,315,33.61914,45.399414,0.0,1390,674,121,24599,0,482,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59982,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:23,10 Sep 2023 14:06:24,10 Sep 2023 14:06:24,10 Sep 2023 14:06:24,565,1,98,297,56,0,113,46.217773,36.411133,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59983,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:24,10 Sep 2023 14:06:24,10 Sep 2023 14:06:24,10 Sep 2023 14:06:24,573,0,99,298,57,0,119,45.572266,35.77246,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/wirelessKeyFob/list,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59984,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:25,10 Sep 2023 14:06:26,10 Sep 2023 14:06:26,10 Sep 2023 14:06:26,576,0,103,313,45,1,114,45.25879,45.24707,24033.203,1390,680,15,24599,0,11,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59985,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:27,10 Sep 2023 14:06:28,10 Sep 2023 14:06:28,10 Sep 2023 14:06:28,595,1,104,317,51,0,122,43.887695,39.981445,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59986,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:28,10 Sep 2023 14:06:28,10 Sep 2023 14:06:28,10 Sep 2023 14:06:28,521,0,90,279,46,0,106,50.121094,44.32715,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/plug/list,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59987,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:30,10 Sep 2023 14:06:30,10 Sep 2023 14:06:30,10 Sep 2023 14:06:30,558,0,97,299,46,0,116,47.18457,44.60254,0.0,1390,670,41,24599,0,261,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59988,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:35,10 Sep 2023 14:06:36,10 Sep 2023 14:06:36,10 Sep 2023 14:06:36,533,0,90,280,57,1,105,48.992188,35.77246,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59989,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:35,10 Sep 2023 14:06:36,10 Sep 2023 14:06:36,10 Sep 2023 14:06:36,557,1,98,294,58,1,105,46.881836,35.15625,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/fingerprint/list,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59990,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:40,10 Sep 2023 14:06:41,10 Sep 2023 14:06:41,10 Sep 2023 14:06:41,601,0,100,303,71,0,127,46.20508,29.213867,0.0,1390,677,57,24599,0,1713,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59991,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:44,10 Sep 2023 14:06:44,10 Sep 2023 14:06:44,10 Sep 2023 14:06:44,570,0,99,302,59,0,110,45.8125,34.55957,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59992,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:44,10 Sep 2023 14:06:45,10 Sep 2023 14:06:45,10 Sep 2023 14:06:45,620,0,111,334,47,0,128,42.118164,43.38379,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59993,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:46,10 Sep 2023 14:06:47,10 Sep 2023 14:06:47,10 Sep 2023 14:06:47,541,1,101,314,2,0,123,49.05371,1048.3398,0.0,1390,688,69,24599,0,429,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59994,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:49,10 Sep 2023 14:06:49,10 Sep 2023 14:06:49,10 Sep 2023 14:06:49,581,1,98,303,63,0,116,44.945312,32.365234,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59995,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:49,10 Sep 2023 14:06:50,10 Sep 2023 14:06:50,10 Sep 2023 14:06:50,583,0,104,317,48,0,114,44.791016,42.48047,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59996,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:55,10 Sep 2023 14:06:56,10 Sep 2023 14:06:56,10 Sep 2023 14:06:56,599,0,106,321,56,0,116,44.30371,37.44043,0.0,1390,688,69,24599,0,429,,
https://servlet.ttlock.com/keyboardPwd/get,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59997,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:59,10 Sep 2023 14:07:00,10 Sep 2023 14:07:00,10 Sep 2023 14:07:00,613,0,107,322,56,0,128,42.84082,39.0791,0.0,1390,677,174,24599,0,52,,
https://servlet.ttlock.com/keyboardPwd/getNotifyContent,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59998,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:00,10 Sep 2023 14:07:01,10 Sep 2023 14:07:01,10 Sep 2023 14:07:01,603,0,107,328,46,1,121,43.958984,45.410156,24418.945,1390,689,60,24599,0,406,,
https://servlet.ttlock.com/keyboardPwd/get,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59999,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:06,10 Sep 2023 14:07:07,10 Sep 2023 14:07:07,10 Sep 2023 14:07:07,642,0,97,339,56,0,150,40.901367,39.027344,0.0,1390,677,171,24599,0,52,,
https://servlet.ttlock.com/keyboardPwd/getNotifyContent,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60000,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:07,10 Sep 2023 14:07:07,10 Sep 2023 14:07:08,10 Sep 2023 14:07:08,614,0,103,315,58,0,138,43.171875,36.01465,0.0,1390,689,60,24599,0,406,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60001,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:09,10 Sep 2023 14:07:09,10 Sep 2023 14:07:10,10 Sep 2023 14:07:10,603,0,105,310,64,0,124,45.225586,32.759766,0.0,1390,688,69,24599,0,1180,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60002,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:10,10 Sep 2023 14:07:11,10 Sep 2023 14:07:11,10 Sep 2023 14:07:11,626,1,105,328,58,1,133,43.564453,36.149414,25174.805,1390,688,69,24599,0,1180,,
https://servlet.ttlock.com/keyboardPwd/delete,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60003,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:07:14,10 Sep 2023 14:07:14,10 Sep 2023 14:07:33,10 Sep 2023 14:07:33,19622,0,104,321,55,1,19141,1.3349609,37.748047,24126.953,1390,679,57,24599,0,107,,
https://servlet.ttlock.com/keyboardPwd/delete,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60004,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:08:00,10 Sep 2023 14:08:01,10 Sep 2023 14:08:04,10 Sep 2023 14:08:04,3738,0,108,326,62,0,3242,7.0039062,33.48633,0.0,1390,679,57,24599,0,87,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60005,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:08:05,10 Sep 2023 14:08:05,10 Sep 2023 14:08:05,10 Sep 2023 14:08:05,613,0,104,316,47,0,146,43.89258,44.609375,0.0,1390,688,69,24599,0,806,,
https://servlet.ttlock.com/keyboardPwd/delete,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60006,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:08:09,10 Sep 2023 14:08:10,10 Sep 2023 14:08:18,10 Sep 2023 14:08:18,8949,1,98,298,56,0,8496,2.9257812,37.07422,0.0,1390,679,57,24599,0,87,,
https://servlet.ttlock.com/keyboardPwd/listSendRecords,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,60007,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:08:19,10 Sep 2023 14:08:19,10 Sep 2023 14:08:19,10 Sep 2023 14:08:19,653,0,97,347,92,0,117,40.63965,22.789062,0.0,1390,688,69,24599,0,429,,
